raceId,driverId,stop,lap,time,duration,milliseconds
841,153,1,1,0.71,26.90,26898
841,30,1,1,0.71,25.02,25021
841,17,1,11,0.72,23.43,23426
841,4,1,12,0.72,23.25,23251
841,13,1,13,0.73,23.84,23842
841,22,1,13,0.73,23.64,23643
841,20,1,14,0.73,22.60,22603
841,814,1,14,0.73,24.86,24863
841,816,1,14,0.73,25.26,25259
841,67,1,15,0.73,25.34,25342
841,2,1,15,0.73,22.99,22994
841,1,1,16,0.73,23.23,23227
841,808,1,16,0.73,24.54,24535
841,3,1,16,0.73,23.72,23716
841,155,1,16,0.73,24.06,24064
841,16,1,16,0.73,25.98,25978
841,15,1,16,0.73,24.90,24899
841,18,1,17,0.73,16.87,16867
841,153,2,17,0.73,24.46,24463
841,5,1,17,0.73,24.87,24865
841,30,2,17,0.73,23.99,23988
841,10,1,18,0.73,23.79,23792
841,18,2,19,0.73,23.30,23303
841,815,1,23,0.74,23.44,23438
841,22,2,23,0.74,37.86,37856
841,17,2,26,0.74,22.52,22520
841,4,2,27,0.74,24.73,24733
841,22,3,28,0.74,16.89,16892
841,67,2,29,0.74,23.10,23100
841,2,2,30,0.74,25.10,25098
841,13,2,31,0.74,24.50,24500
841,155,2,32,0.75,24.19,24192
841,20,2,36,0.75,24.04,24036
841,1,2,36,0.75,23.20,23199
841,153,3,35,0.75,26.35,26348
841,808,2,36,0.75,25.68,25683
841,814,2,36,0.75,24.33,24332
841,18,3,37,0.75,22.68,22681
841,16,2,37,0.75,23.87,23871
841,15,2,37,0.75,24.85,24848
841,816,2,38,0.75,26.45,26446
841,17,3,41,0.76,26.23,26230
841,22,4,40,0.76,26.31,26309
841,4,3,42,0.76,24.18,24181
841,13,3,48,0.76,24.10,24095
842,16,1,3,0.67,31.69,31694
842,22,1,3,0.67,32.98,32978
842,17,1,10,0.68,22.57,22572
842,814,1,11,0.68,22.77,22773
842,1,1,12,0.68,22.55,22552
842,20,1,13,0.68,23.02,23019
842,2,1,13,0.69,23.90,23900
842,18,1,13,0.69,22.40,22400
842,13,1,13,0.69,29.22,29224
842,15,1,13,0.69,25.52,25516
842,4,1,14,0.69,23.15,23152
842,30,1,14,0.69,22.58,22576
842,808,1,15,0.69,23.18,23182
842,67,1,15,0.69,23.28,23280
842,3,1,15,0.69,24.97,24967
842,5,1,15,0.69,29.08,29084
842,153,1,16,0.69,23.58,23584
842,16,2,16,0.69,22.05,22046
842,155,1,17,0.69,23.28,23280
842,815,1,17,0.69,23.60,23597
842,10,1,17,0.69,24.62,24617
842,816,1,17,0.69,26.25,26252
842,24,1,17,0.69,27.82,27815
842,22,2,17,0.69,24.50,24502
842,67,2,20,0.69,29.84,29843
842,17,2,22,0.70,21.99,21991
